class,mult,type,subtype,density,ub_l2,ub_l3,ub_l4,ub_l5,ub_l6
C,15,1,1,0.8,1213,1236,1213,1126,1126
C,15,1,1,0.7,1490,1538,1490,1529,1490
C,15,1,1,0.5,2414,2230,2230,2230,2230
C,15,1,1,0.3,2976,3075,2976,3031,2976
C,15,1,1,0.4,2539,2556,2539,2570,2539
C,15,1,1,0.6,1888,2010,1888,1792,1792
C,15,1,1,0.2,3400,3470,3400,3379,3379
C,15,1,1,0.1,4178,4174,4174,4174,4174
C,15,1,1,0.9,841,856,841,757,757
C,15,4,1,0.8,5389,5425,5389,5425,5389
C,15,4,1,0.7,7751,7760,7751,7760,7751
C,15,5,1,0.1,11858,11724,11724,11724,11724
C,15,5,1,0.2,9243,9663,9243,9663,9243
C,15,5,1,0.3,8478,8251,8251,8270,8270
C,15,5,1,0.4,6737,7269,6737,6583,6583
C,15,4,1,0.6,9488,9569,9488,9691,9488
C,15,5,1,0.5,6203,6309,6203,6197,6197
C,15,4,1,0.5,11930,12088,11930,12088,11930
C,15,5,1,0.6,5147,5459,5147,4651,4651
C,15,5,1,0.7,4420,4754,4420,4774,4420
C,15,5,1,0.8,3626,3533,3533,3605,3605
C,15,5,1,0.9,2375,2648,2375,2591,2375
C,15,4,1,0.4,14908,14707,14707,14707,14707
C,15,4,1,0.3,16980,16960,16960,16960,16960
C,15,4,1,0.2,17420,17470,17420,17470,17420
C,15,4,1,0.1,17860,17880,17860,17880,17860
C,15,8,1,0.3,15570,15570,15570,15570,15570
C,15,8,1,0.4,15550,15550,15550,15550,15550
C,15,8,1,0.2,15580,15580,15580,15580,15580
C,1,1,1,0.1,210,210,210,210,210
C,1,1,1,0.2,210,210,210,210,210
C,1,1,1,0.3,210,210,210,210,210
C,1,1,1,0.4,200,210,200,200,200
C,1,1,1,0.5,200,200,200,200,200
C,1,1,1,0.6,200,200,200,200,200
C,1,1,1,0.7,200,200,200,200,200
C,1,1,1,0.8,200,200,200,190,190
C,1,1,1,0.9,190,200,190,190,190
C,15,8,1,0.5,15530,15540,15530,15540,15530
C,15,8,1,0.1,15580,15580,15580,15580,15580
C,1,4,1,0.1,220,220,220,220,220
C,1,4,1,0.2,220,220,220,220,220
C,1,4,1,0.3,220,220,220,220,220
C,15,8,1,0.6,15500,15500,15500,15500,15500
C,1,4,1,0.4,220,220,220,220,220
C,15,8,1,0.7,15430,15460,15430,15460,15430
C,1,4,1,0.5,220,220,220,220,220
C,1,5,1,0.1,1030,1030,1030,1030,1030
C,1,5,1,0.2,1030,1030,1030,1030,1030
C,1,5,1,0.3,1030,1030,1030,1030,1030
C,1,5,1,0.4,1030,1030,1030,1030,1030
C,1,5,1,0.5,1030,1030,1030,1030,1030
C,1,5,1,0.6,1030,1030,1030,1030,1030
C,1,5,1,0.7,1030,1030,1030,1030,1030
C,1,5,1,0.8,1030,1030,1030,1030,1030
C,1,5,1,0.9,1030,1030,1030,1030,1030
C,1,4,1,0.6,220,220,220,220,220
C,1,4,1,0.7,220,220,220,220,220
C,1,8,1,0.1,1040,1040,1040,1040,1040
C,1,8,1,0.2,1040,1040,1040,1040,1040
C,1,4,1,0.8,220,220,220,220,220
C,1,8,1,0.3,1040,1040,1040,1040,1040
C,1,4,1,0.9,210,210,210,210,210
C,1,8,1,0.4,1040,1040,1040,1040,1040
C,1,8,1,0.5,1040,1040,1040,1040,1040
C,1,8,1,0.7,1040,1040,1040,1040,1040
C,1,8,1,0.6,1040,1040,1040,1040,1040
C,1,8,1,0.8,1040,1040,1040,1040,1040
C,1,8,1,0.9,1030,1040,1030,1030,1030
R,15,1,1,0.1,2993,3022,2993,3022,2993
R,15,1,1,0.2,2595,2750,2595,2750,2595
R,15,1,1,0.3,2301,2316,2301,2316,2301
R,15,1,1,0.4,1886,1978,1886,1978,1886
C,15,8,1,0.8,14765,15340,14765,14909,14765
C,15,8,1,0.9,9354,9710,9354,9683,9354
R,15,1,1,0.5,1559,1657,1559,1598,1559
R,15,1,1,0.6,1335,1414,1335,1388,1335
R,15,1,1,0.8,804,902,804,692,692
R,15,1,1,0.7,1192,1244,1192,1244,1192
R,15,1,1,0.9,576,646,576,646,576
C,15,4,1,0.9,3405,3331,3331,3331,3331
R,15,4,1,0.7,5566,5589,5566,5562,5562
R,15,4,1,0.6,6722,6742,6722,6892,6722
R,15,5,1,0.1,1690,1743,1690,1743,1690
R,15,5,1,0.2,1319,1338,1319,1338,1319
R,15,5,1,0.3,1162,1248,1162,1248,1162
R,15,4,1,0.5,8806,8851,8806,8851,8806
R,15,5,1,0.4,1062,1135,1062,1088,1062
R,15,4,1,0.4,10310,10653,10310,10653,10310
R,15,5,1,0.5,921,996,921,996,921
R,15,5,1,0.6,806,882,806,882,806
R,15,5,1,0.7,688,810,688,810,688
R,15,5,1,0.8,515,598,515,525,515
R,15,5,1,0.9,342,419,342,418,342
R,15,4,1,0.3,12856,12888,12856,12888,12856
R,15,4,1,0.2,15255,15058,15058,15058,15058
R,15,4,1,0.1,17924,17899,17899,17899,17899
R,15,8,1,0.3,4129,4134,4129,4143,4129
R,15,8,1,0.4,3830,3896,3830,3896,3830
R,15,8,1,0.2,4217,4263,4217,4263,4217
R,15,8,1,0.1,4539,4576,4539,4551,4539
R,15,8,1,0.5,3670,3678,3670,3612,3612
R,1,1,1,0.1,402,402,402,402,402
R,1,1,1,0.2,456,458,456,458,456
R,1,1,1,0.3,373,393,373,393,373
R,1,1,1,0.4,436,439,436,439,436
R,1,1,1,0.5,447,452,447,447,447
R,1,1,1,0.6,392,423,392,388,388
R,1,1,1,0.7,396,440,396,440,396
R,1,1,1,0.8,346,361,346,235,235
R,1,1,1,0.9,338,395,338,370,338
R,15,4,1,0.8,3825,3994,3825,3994,3825
R,1,4,1,0.1,657,659,657,659,657
R,1,4,1,0.2,603,611,603,611,603
R,15,8,1,0.6,3346,3404,3346,3408,3346
R,1,4,1,0.3,636,649,636,649,636
R,1,4,1,0.4,614,628,614,628,614
R,1,4,1,0.5,586,604,586,604,586
R,1,4,1,0.6,575,596,575,607,575
R,1,5,1,0.1,294,294,294,294,294
R,1,5,1,0.2,293,293,293,293,293
R,1,5,1,0.3,291,291,291,291,291
R,1,5,1,0.4,290,297,290,290,290
R,1,5,1,0.5,292,295,292,295,292
R,1,5,1,0.6,282,288,282,288,282
R,1,5,1,0.7,295,299,295,299,295
R,1,5,1,0.8,291,294,291,283,283
R,1,4,1,0.7,569,584,569,576,569
R,1,5,1,0.9,266,286,266,279,266
R,1,8,1,0.1,331,331,331,331,331
R,1,8,1,0.2,320,320,320,320,320
R,1,4,1,0.8,587,587,587,587,587
R,1,4,1,0.9,536,561,536,533,533
R,1,8,1,0.3,348,348,348,348,348
R,1,8,1,0.4,358,358,358,358,358
R,1,8,1,0.5,340,340,340,321,321
R,15,8,1,0.8,2287,2323,2287,2309,2287
R,15,8,1,0.7,2816,2898,2816,2851,2816
R,15,8,1,0.9,1408,1421,1408,1475,1408
R,1,8,1,0.6,300,300,300,300,300
R,1,8,1,0.7,347,347,347,303,303
R,1,8,1,0.8,304,322,304,328,304
R,1,8,1,0.9,297,298,297,297,297
R,15,4,1,0.9,2266,2357,2266,2382,2266
